cip6,soc6,naics6
52.1401,27-3031,236210
45.0601,Nov-31,NA
26.0101,43-4051,NA
31.0501,29-1123,611310
NA,13-2072,NA
38.0201,35-9011,NA
52.0101,11-1021,NA
52.0301,15-1232,511210
9.0903,27-3031,NA
23.1401,43-4171,NA
13.1312,Nov-31,NA
51.3801,29-1141,NA
NA,43-1011,622110
NA,25-2021,NA
31.0504,13-1151,NA
NA,23-2011,NA
NA,29-2034,622110
45.0601,15-1232,541512
51.3801,29-1141,NA
NA,53-3032,NA
14.0801,17-2199,541330
27.0101,99-9999,611310
9.0903,21-Nov,NA
51,29-1071,611310
NA,15-1212,928110
4.0601,13-1198,238170
52.0101,Nov-31,NA
52.1401,41-4012,322291
54.0101,11-Nov,541940
9.01,43-6014,813910
52.0301,13-2011,611310
11.0101,15-1256,NA
52.0803,13-2072,NA
52.0201,43-4131,NA
43.0102,43-4051,NA
14.0801,17-2051,236210
NA,29-9091,621111
50.0705,51-9198,NA
52.0201,Nov-98,NA
9.0402,27-3023,NA
51.3801,29-1141,NA
51.3801,29-1141,NA
52.1101,31-1131,NA
27.0101,17-2071,541512
52.0801,43-1011,238220
52.0201,11-1021,488210
51.3801,29-1141,NA
42.0101,27-2022,NA
31.0501,29-1122,611310
14.0801,17-2199,541330
51.3801,29-1141,NA
52.0201,15-1232,NA
44.0701,51-9123,NA
27.0101,13-1051,236210
52.0803,13-2041,NA
23.0101,43-4171,NA
31.0501,31-2021,622310
52.0801,13-1111,NA
42.0101,21-1018,611310
31.0501,41-2031,NA
14.0801,99-9999,541370
NA,41-9099,NA
42.0101,43-1011,624110
23.0101,25-3097,611310
52.1401,15-1232,NA
NA,27-2022,NA
42.0101,21-1023,NA
31.0501,27-2022,NA
52.0801,13-2041,NA
9.0903,11-1021,NA
51.3801,33-1012,928110
9.0903,13-1121,NA
30,29-1071,NA
51.3801,29-1141,NA
52.0101,35-2012,928110
52.0301,43-6011,NA
9.0903,13-1161,NA
52.0201,11-1011,NA
NA,99-9999,NA
45.0101,11-1011,NA
51.3801,29-1141,NA
NA,99-9999,624410
42.0101,21-1093,611310
52.0201,27-1029,236210
27.0101,25-3097,NA
52.1401,25-9044,611310
42.0101,21-1093,NA
42.0101,Nov-51,512131
51,11-1021,237130
52.0101,43-4131,NA
13.0101,43-6014,423820
13.1312,99-9999,928110
14.3501,15-2031,928110
52.0201,Nov-98,NA
13.0101,21-Nov,928110
9.0903,39-9032,NA
42.0101,39-9011,624110
26.0901,41-9022,531311
52.1401,43-3071,NA
NA,13-2072,NA
51.3801,29-1141,NA
NA,43-6013,NA
51.3801,29-1141,NA
52.0211,41-9022,NA
52.1401,41-4012,238990
54.0101,Nov-98,NA
52.0201,13-2011,611310
26.0901,39-9031,812990
51.3801,29-1141,NA
52.0803,13-2041,NA
NA,11-1011,NA
9.0402,27-3023,NA
14.1001,17-2071,221122
43.01,21-1093,NA
11.0701,55-9999,928110
52.0201,Nov-98,NA
9.0401,27-3023,NA
NA,21-1093,NA
40.0404,19-2021,NA
52.1401,43-6014,NA
52.0201,15-1232,NA
50.0409,25-3097,611110
52.0201,37-3011,NA
23.0101,27-3043,511120
51.3801,31-1131,NA
14.3501,17-2112,336612
9.01,25-9031,611310
51.3801,29-1141,NA
52.0201,43-1011,NA
51.3801,29-1141,NA
19.0504,99-9999,611310
52.0201,43-1011,924120
52.0301,13-2041,NA
31.0504,41-9099,441110
52.1401,27-3041,NA
9.01,27-3043,511120
52.0201,33-1012,922140
NA,25-9045,611110
9.0903,21-Nov,511120
52.1401,43-1011,NA
52.0201,21-1092,922140
52.0801,43-3071,NA
51.3801,29-1141,NA
52.0201,31-9092,NA
9.0102,27-3023,541890
51.3801,29-1141,NA
52.0101,Nov-41,NA
31.0504,43-4131,NA
NA,21-1093,NA
51.3801,29-1141,NA
46,17-2071,236210
40.0801,25-3031,NA
51.3801,29-1141,NA
51.3801,29-1141,NA
42.0101,31-1128,NA
54.0101,27-2022,NA
14.1901,17-2112,311821
51.0602,29-1292,NA
50.0708,43-9061,NA
19.0701,25-9044,611310
31.0501,35-9031,NA
50.0605,27-4021,NA
50.0409,25-2021,611110
40.0404,55-9999,928110
19.0701,15-1299,611310
51,31-1131,NA
51.3801,29-1141,NA
NA,51-2098,NA
51.3801,29-1141,NA
50.0301,25-3021,611610
51.3801,29-1141,NA
