,learn,pumaid,educ,hours,state,Y,W
2078,9.615806,4400200,12,40,44,9.615806,FALSE
2079,10.12663,4400200,12,44,44,10.12663,FALSE
2080,12.59134,4400200,16,40,44,12.59134,TRUE
2081,10.49127,4400200,12,40,44,10.49127,FALSE
2082,9.546813,4400200,9,40,44,9.546813,FALSE
2083,11.51293,4400200,18,60,44,11.51293,TRUE
2084,10.4631,4400200,12,40,44,10.4631,FALSE
2085,9.21034,4400200,12,40,44,9.21034,FALSE
2086,10.74506,4400200,16,48,44,10.74506,TRUE
2087,10.30895,4400200,7.5,60,44,10.30895,FALSE
2088,9.21034,4400200,12,40,44,9.21034,FALSE
2089,10.81978,4400200,12,50,44,10.81978,FALSE
2090,6.907755,4400200,13,32,44,6.907755,TRUE
2091,10.77896,4400200,16,40,44,10.77896,TRUE
2092,10.23996,4400200,16,36,44,10.23996,TRUE
2093,10.2989,4400200,12,40,44,10.2989,FALSE
2094,10.54534,4400200,12,40,44,10.54534,FALSE
2095,11.15625,4400200,14,60,44,11.15625,TRUE
2096,8.006368,4400200,14,20,44,8.006368,TRUE
2097,9.798127,4400200,0,40,44,9.798127,FALSE
2098,9.21034,4400200,11,40,44,9.21034,FALSE
2099,8.101678,4400200,13,30,44,8.101678,TRUE
2100,8.517193,4400200,16,30,44,8.517193,TRUE
2101,10.81978,4400200,12,40,44,10.81978,FALSE
2102,10.30895,4400200,16,40,44,10.30895,TRUE
2103,10.12663,4400200,16,40,44,10.12663,TRUE
2104,10.71442,4400200,13,60,44,10.71442,TRUE
2105,10.40426,4400200,9,50,44,10.40426,FALSE
2106,10.4631,4400200,13,40,44,10.4631,TRUE
2107,10.40426,4400200,16,35,44,10.40426,TRUE
2108,11.0021,4400200,13,40,44,11.0021,TRUE
2109,10.23996,4400200,12,40,44,10.23996,FALSE
2110,10.4631,4400200,12,55,44,10.4631,FALSE
2111,10.4631,4400200,16,50,44,10.4631,TRUE
2112,10.4631,4400200,13,50,44,10.4631,TRUE
2113,10.30895,4400200,11,49,44,10.30895,FALSE
2114,9.392662,4400200,10,45,44,9.392662,FALSE
2115,10.30895,4400200,13,40,44,10.30895,TRUE
2116,9.268609,4400200,14,35,44,9.268609,TRUE
2117,9.952278,4400200,12,35,44,9.952278,FALSE
2118,8.268732,4400200,10,40,44,8.268732,FALSE
2119,9.035987,4400200,13,40,44,9.035987,TRUE
2120,9.047821,4400200,16,40,44,9.047821,TRUE
2121,10.08581,4400200,12,40,44,10.08581,FALSE
2122,10.37349,4400200,12,40,44,10.37349,FALSE
2123,6.791222,4400200,16,45,44,6.791222,TRUE
2124,9.323669,4400200,9,40,44,9.323669,FALSE
2125,9.903487,4400200,13,50,44,9.903487,TRUE
2126,9.305651,4400200,13,30,44,9.305651,TRUE
2127,8.699514,4400200,13,32,44,8.699514,TRUE
2128,10.89674,4400200,13,45,44,10.89674,TRUE
2129,10.79958,4400200,12,42,44,10.79958,FALSE
2130,11.09741,4400200,13,46,44,11.09741,TRUE
2131,10.37349,4400200,16,40,44,10.37349,TRUE
2132,10.28192,4400200,12,40,44,10.28192,FALSE
2133,8.188689,4400200,13,30,44,8.188689,TRUE
2134,10.30895,4400200,12,40,44,10.30895,FALSE
2135,9.635608,4400200,12,45,44,9.635608,FALSE
2136,10.1425,4400200,12,37,44,10.1425,FALSE
2137,10.4631,4400200,14,40,44,10.4631,TRUE
2138,10.54534,4400200,0,55,44,10.54534,FALSE
2139,10.89674,4400200,16,50,44,10.89674,TRUE
2140,10.81978,4400200,16,55,44,10.81978,TRUE
2141,9.25913,4400200,12,40,44,9.25913,FALSE
2142,10.81978,4400200,12,50,44,10.81978,FALSE
2143,10.62133,4400200,12,58,44,10.62133,FALSE
2144,10.49127,4400200,16,40,44,10.49127,TRUE
2145,11.12726,4400200,16,40,44,11.12726,TRUE
2146,11.39639,4400200,16,40,44,11.39639,TRUE
2147,10.62133,4400200,16,40,44,10.62133,TRUE
2148,10.51867,4400200,13,44,44,10.51867,TRUE
2149,11.51293,4400200,18,60,44,11.51293,TRUE
2150,10.95081,4400200,16,60,44,10.95081,TRUE
2151,11.09741,4400200,18,40,44,11.09741,TRUE
2152,10.81978,4400200,13,42,44,10.81978,TRUE
2153,11.15625,4400200,14,45,44,11.15625,TRUE
2154,10.16585,4400200,12,60,44,10.16585,FALSE
2155,10.83958,4400200,16,60,44,10.83958,TRUE
2156,5.075174,4400200,16,50,44,5.075174,TRUE
2157,11.62625,4400200,18,60,44,11.62625,TRUE
2158,11.17043,4400200,14,40,44,11.17043,TRUE
2159,10.89674,4400200,13,80,44,10.89674,TRUE
2160,10.37349,4400200,12,40,44,10.37349,FALSE
2161,10.54534,4400200,12,45,44,10.54534,FALSE
2162,10.14643,4400200,14,45,44,10.14643,TRUE
2163,9.998797,4400200,9,50,44,9.998797,FALSE
2164,11.15625,4400200,16,40,44,11.15625,TRUE
2165,10.81978,4400200,12,40,44,10.81978,FALSE
2166,10.54534,4400200,12,40,44,10.54534,FALSE
2167,10.89674,4400200,13,55,44,10.89674,TRUE
2168,10.51597,4400200,13,45,44,10.51597,TRUE
2169,10.64542,4400200,12,40,44,10.64542,FALSE
2170,10.4631,4400200,12,40,44,10.4631,FALSE
2171,9.648595,4400200,16,40,44,9.648595,TRUE
2172,10.77896,4400200,12,32,44,10.77896,FALSE
2173,10.29215,4400200,14,45,44,10.29215,TRUE
